ds,yhat,yhat_lower,yhat_upper
2024-12-19,248.41404404550107,235.63626204093163,260.6326129326726
2024-12-20,247.80429519990855,235.85134261054608,259.5251434933424
2024-12-23,247.02380520474006,234.95361357818982,259.8409326770016
2024-12-24,247.2376895999164,235.28528070834702,259.5908596890279
2024-12-26,246.52000344842259,235.49590542796162,258.83106860257243
2024-12-27,245.9102545942922,233.07622965194713,257.9356140495812
2024-12-30,245.12976457350655,232.80444783391135,256.90117824679174
2024-12-31,245.3436489592362,233.07986002978177,258.11864295450715
2025-01-02,244.62596280592226,232.7899517391297,256.8675337934603
2025-01-03,244.01621395088392,231.84475324055353,255.84465719794102
2025-01-06,243.23572394024055,231.16715125511735,255.29272074021023
2025-01-07,243.44960833026076,231.69395513922956,255.38319648389376
2025-01-08,243.90612342894016,232.13454449907408,255.20613991852798
2025-01-10,242.12217333477864,229.6505902026967,253.01040168519611
2025-01-13,241.35627566515478,229.48378939081587,253.92643950298609
2025-01-14,241.5750241688498,228.13907794959707,254.45382116734112
2025-01-15,242.0364033812017,229.38133576063254,253.72634160275416
2025-01-16,240.8834969825296,229.55712970567868,252.8524962136746
2025-01-17,240.29504297651795,227.84450424787488,253.1486111858622
2025-01-21,239.81361673485114,227.12049836723034,251.65184176057113
2025-01-22,240.31722313202226,227.8781960118139,252.64827775714534
2025-01-23,239.19011318710469,227.34186737230678,251.92224697396856
2025-01-24,238.6274556348494,226.02492715906237,250.84363908092564
2025-01-27,237.99157522153578,224.7531940834219,250.05798964975205
2025-01-28,238.25366281066837,226.5958388521338,249.19282120888693
2025-01-29,238.75838110845535,226.8100872992253,250.2171227905709
2025-01-30,237.63352363493567,225.36610656180198,249.8962136468794
2025-01-31,237.07311855407835,225.02019374003618,249.8510418956994
2025-02-03,236.44065985311352,224.13964096749342,249.4038685942382
2025-02-04,236.70388843306412,224.37976223903325,249.74174443501607
2025-02-05,237.20974772167608,223.94138200629814,248.8445513377013
2025-02-06,236.0848906681941,222.33533129351017,249.1408553603889
2025-02-07,235.52448600737685,223.5423049107931,248.49637834220584
2025-02-10,234.89202855309782,221.92222775887504,247.85883041687126
2025-02-11,235.1552571285725,222.65749044465312,247.19005624820494
2025-02-12,235.66111641270717,223.3793822265061,248.204421777939
2025-02-13,234.53625936008876,221.98187461107202,247.04101736836375
2025-02-14,233.97585470013706,222.03751813241013,246.16615891932858
2025-02-18,233.6066258426975,220.28048785555802,245.79462738837577
2025-02-19,234.11248513042645,221.98305721665892,246.5114614776214
2025-02-20,232.98762807606175,220.5102920143548,244.66286602549584
2025-02-21,232.4272234143634,220.41445590795942,244.5539222134937
2025-02-24,231.41219131642237,219.1370315287497,243.88137082787054
2025-02-25,231.54789501067836,218.71814545376276,243.87971252478616
2025-02-26,231.92622941359008,217.6852966847308,244.56262823679478
2025-02-27,230.48319113400476,217.45580790877676,243.12411854358913
2025-02-28,229.6046052470786,216.8855131031948,240.66668855816775
2025-03-03,228.0176041279141,215.85496721268044,240.4340249628661
2025-03-04,227.90241770228758,215.28036675363643,240.24049628459198
2025-03-05,228.02986198532537,215.73951080684807,239.91045639475576
2025-03-06,226.5265899262698,214.88291169910346,238.973850179426
2025-03-07,225.58777025987547,213.0524003350134,238.85349093633164
2025-03-10,223.82001982920775,210.74101201297356,236.36597731454233
2025-03-11,223.704817412551,211.35679002334044,235.5543884214075
2025-03-12,223.83224570455647,211.69448716037732,236.20186031359336
2025-03-13,222.32895765258704,210.2408321644159,234.43943137572683
2025-03-14,221.3901219932807,209.21858893558175,233.07155848755596
2025-03-17,219.62237155696735,206.51467595898185,232.0030438213116
2025-03-18,219.50716914599064,207.25323155193826,231.72574012838322
2025-03-19,219.63459744367432,207.50351070621488,231.7987320917982
2025-03-20,218.13130939926958,206.10548291088676,231.00543302512403
2025-03-21,217.19247375129316,205.02173923388452,229.28474647395817
2025-03-24,215.42472334897832,202.9093122266933,228.35025161172038
2025-03-25,215.309520941775,201.9886042413237,227.94230447619418
2025-03-26,215.4369492461259,201.98938135790098,228.31241840332626
2025-03-27,213.9336612083875,200.9208222642163,225.69348050328023
2025-03-28,212.99482556330744,200.8610278523168,224.48986763945518
2025-03-31,211.22707518326533,199.22186800783197,223.33176816807367
2025-04-01,211.1118727834857,198.86588774749904,223.79670500792386
2025-04-02,211.23930109236414,199.1900021750109,224.054516452641
2025-04-03,209.73601305915355,196.80861262247765,222.27198399374564
2025-04-04,208.79717890792074,196.9625711706427,221.69178657421466
2025-04-07,207.02943299583026,194.93571255438687,219.94851983449394
2025-04-08,206.91423208536884,194.75708085016407,218.83740533886757
2025-04-09,207.23773297540072,194.14346019090394,218.95839644517255
2025-04-10,205.9305175233436,193.42230035531134,218.31277022275367
2025-04-11,205.18775446394673,192.6047711499324,218.01504629203535
2025-04-14,204.6235211943067,192.8558374730628,217.12029213242846
2025-04-15,204.9094911646627,191.97061800758792,217.58322578937225
2025-04-16,205.4380918436738,193.31462312774352,217.18677020526837
2025-04-17,204.4491328559827,192.32976436400367,215.70782558519397
2025-04-21,203.79986301747675,191.9900576473412,216.30709171677447
2025-04-22,204.19898966321733,191.6007857681259,216.48610453603368
2025-04-23,204.8407470176196,193.82644151877662,217.48885452017896
2025-04-24,203.8517880299279,190.9962627611669,215.96084512141587
2025-04-25,203.4272814349006,190.9697509540167,215.47146124514336
2025-04-28,203.2025181914223,190.29825562874228,215.47844457021873
2025-04-29,203.60164483716412,190.63863013757611,216.47844864063654
2025-04-30,204.24340219156562,191.76551496686383,216.82671753176584
2025-05-01,203.25444320387305,190.7528822742985,215.76242388669587
2025-05-02,202.82993660884708,191.59372841656094,215.37679555024835
2025-05-05,202.60517336536813,190.39369195243518,214.87906374785413
2025-05-06,203.00430001111081,190.6038111690963,214.857831118739
2025-05-07,203.64605736551147,191.75165069904986,216.81487285927614
2025-05-08,202.65709837782268,190.88121730484062,214.6462068715923
2025-05-09,202.2325917827935,189.65734672494705,213.9201833753678
2025-05-12,202.00782853931398,189.22780042733055,213.6370451232869
2025-05-13,202.40695518505777,190.16198635681118,214.3625488034447
2025-05-14,203.04871253945737,190.83007287077862,216.44465542131277
2025-05-15,202.05975355176787,189.72316744482072,215.30043451818204
2025-05-16,201.63524695673982,189.62310710307403,214.08740552957764
2025-05-17,202.39280375109524,189.07864013827634,214.35230965003416
2025-05-18,202.30746874043314,190.27190987856753,214.97385437012466
2025-05-19,201.41048371326104,189.00796187834442,213.85365826397043
2025-05-20,201.80961035899995,190.27804111631949,215.1854671147089
2025-05-21,202.45136771340316,190.72413479540253,214.43542961887897
2025-05-22,201.46240872571306,188.79821970196093,213.6578675278435
2025-05-23,201.03790213068615,188.22245434556305,213.03372920830017
2025-05-24,201.79545892503862,188.7161202739803,214.18950647437376
2025-05-25,201.71012391437847,189.82456528664773,213.09672660674855
2025-05-26,200.81313888720663,188.48686400628142,213.297767368203
2025-05-27,201.21226553294687,189.3333448586135,213.30904021311758
2025-05-28,201.85402288734912,188.8628023532257,214.2585485345254
2025-05-29,200.86506389965822,188.0767199219422,213.65653991258333
2025-05-30,200.4405573046304,187.8399798191491,213.09141902825206
2025-05-31,201.19811409898526,189.83543133086084,213.5756481602985
2025-06-01,201.11277908832406,189.11173385424811,214.04741915020486
2025-06-02,200.21579406115268,187.95167010646645,213.4752194331713
2025-06-03,200.6149207068934,187.6239616381495,212.90012388083642
2025-06-04,201.25667806129553,189.78870171430233,213.99002712476403
2025-06-05,200.26771907360342,188.62716531654655,213.71618734162922
2025-06-06,199.8432124785768,186.86416297145095,211.5375481965871
2025-06-07,200.60076927293167,186.99491602781572,212.74305749025055
2025-06-08,200.5154342622694,188.833089143562,212.9339804657607
2025-06-09,199.61844923509824,187.5209592320276,212.02539825504257
2025-06-10,200.01757588084035,189.22987752863523,212.78168296369168
2025-06-11,200.65933323524146,188.8551824112378,212.60819645472642
2025-06-12,199.6703742475486,187.17321324929677,211.62046102273268
2025-06-13,199.24586765252315,186.82947682577552,212.5579542903078
2025-06-14,200.00342444687854,187.4751160340478,212.45406255985176
