Date,Forecast,Forecast_Lower,Forecast_Upper
2024-12-20,448.1433189247369,419.2047032739839,474.58147257599705
2024-12-23,436.29275312961835,409.7722645603519,463.0554008403412
2024-12-24,437.2732457602843,412.0723314766454,465.3770102166926
2024-12-26,437.3086186790289,409.25820475437246,461.37302378198115
2024-12-27,437.30067358394103,410.4239396321217,463.44628938125373
2024-12-30,425.4501077265083,399.4329801280415,450.1074819283821
2024-12-31,426.4306003364219,399.2383706527939,452.16318859840464
2025-01-02,426.46597319983664,398.0721879357305,452.36325938024163
2025-01-03,426.4580280978646,400.4137869074097,451.46538247921194
2025-01-06,414.6074622198156,388.66150222633564,442.4107548156883
2025-01-07,415.58795483698185,389.3856455040291,443.03309461423135
2025-01-08,419.5748286249371,393.42762418909365,443.87320729388193
2025-01-10,415.6153826410121,392.52042507065465,441.72145490735664
2025-01-13,403.7648168055218,376.42535871731013,430.25899980059944
2025-01-14,404.74530895028914,377.4886097267623,429.4720276840252
2025-01-15,408.7321822658126,383.4503339575571,433.6253962005094
2025-01-16,404.7806808972392,377.7903229580923,430.9423408241344
2025-01-17,404.7727346817391,376.8579572024169,430.9475182795723
2025-01-21,393.90265695266356,363.72807577385095,421.7070602104592
2025-01-22,397.88952961288777,368.37958953610047,424.3571567648324
2025-01-23,393.71282772980277,365.49749965939134,419.56306367122653
2025-01-24,393.47968165506285,366.8496418998195,420.45583559508657
2025-01-27,380.9535128587352,354.56390675522255,407.81677491755
2025-01-28,381.24150544901516,355.65464147131945,407.01376878904625
2025-01-29,384.5358792100339,360.1037143801802,411.3908877080451
2025-01-30,379.89187828693787,351.6504814456646,405.8306478058814
2025-01-31,378.8606262331825,353.2203387108146,404.0743405449794
2025-02-03,363.9401394996903,337.4085106347165,390.8205495971555
2025-02-04,363.89732515092004,337.2639562686326,389.77616427096893
2025-02-05,366.69197423191434,339.94569330863186,393.831910011396
2025-02-06,361.5482486288348,334.6176559578916,390.2579559504563
2025-02-07,360.3480788341253,331.9575064179156,388.60676384127106
2025-02-10,344.9208388777882,317.0477945308379,371.95751679648265
2025-02-11,344.70910242964516,319.5817891937605,371.27621122591853
2025-02-12,347.5037471522747,322.4263898667055,371.4827361825498
2025-02-13,342.3600171908039,316.03171656622953,369.2526329667943
2025-02-14,341.1598430220551,311.25387278113305,369.0836146820494
2025-02-18,325.52085347987526,299.3849993627852,352.1854140818196
2025-02-19,328.3154981868463,303.7763656553515,358.018599165702
2025-02-20,323.1717682145378,294.12825386492887,349.616808407381
2025-02-21,321.97159405060466,295.0961517059201,350.115056061244
2025-02-24,306.5443409865569,281.9328749571422,335.76581912793523
2025-02-25,306.332604524398,279.8437452577904,334.7210940791478
2025-02-26,309.12724923298316,282.22444863672655,337.5747322095672
2025-02-27,303.9835192574942,277.753616513722,331.7386527212629
2025-02-28,302.7833450892164,275.2638908758638,331.20364672530945
2025-03-03,287.35609201214794,259.27377064008056,313.65447888598413
2025-03-04,287.1443555488252,260.2031706076283,313.7985079691565
2025-03-05,289.93918459749295,263.21806634809195,318.32846160442915
2025-03-06,284.79563896205565,260.1859687640698,312.63389909774344
2025-03-07,283.59564913500185,255.29920578680472,309.8363262495883
2025-03-10,268.16894908160134,241.70171902702194,294.20659143662346
2025-03-11,268.323415797606,243.22523803155627,295.19216712931507
2025-03-12,271.4842636843669,246.95289860259558,295.0682057480349
2025-03-13,266.70673688703073,239.70960907310828,293.27729645065483
2025-03-14,266.5361722904419,241.08823668320957,292.7316749755246
2025-03-17,254.19774792851382,228.1935510932517,282.1590289823443
2025-03-18,255.0156210368795,227.8464233724734,282.22315745311005
2025-03-19,259.51030710648763,233.5386292558606,285.51994486856984
2025-03-20,256.0666184919991,233.44704881940947,282.96997228874113
2025-03-21,256.56648568589213,230.85530377494547,284.18470283390786
2025-03-24,247.91865011824063,221.65620574918356,274.1841501289096
2025-03-25,249.96671949137448,221.8586805137974,278.32232200730726
2025-03-26,255.02117003526536,229.46000443135748,282.18772295511366
2025-03-27,252.46699933887967,226.92847877203943,277.8331318127476
2025-03-28,253.85638445084564,227.58494130253538,280.75625847008314
2025-03-31,246.19780921461543,219.47591551286584,273.1339476942739
2025-04-01,248.85727627883844,221.57575573576392,275.80202611957554
2025-04-02,254.52312451376716,227.9280401859961,280.12221319480255
2025-04-03,252.2505980646174,226.4690201728504,278.13588904108764
2025-04-04,253.9216274238197,227.17907326366674,279.9866984587983
2025-04-07,248.10518892931597,222.05341702337333,274.75791268785207
2025-04-08,251.09705732684046,223.6351230849984,279.7846244069571
2025-04-09,257.0953068951171,230.91055661499942,284.23600029989086
2025-04-10,255.5485820593067,230.09259328129957,280.9405745634401
2025-04-11,257.94541303187526,231.51853611143852,285.1726976736956
2025-04-14,253.3091753773499,227.15739929799167,280.23661730966955
2025-04-15,257.08253597678066,229.1622384164566,283.2022587588627
2025-04-16,263.86227774695146,238.15783813842108,290.4524466089276
2025-04-17,262.70364483304365,235.59764233755752,289.2409311137814
2025-04-21,263.57789207107675,238.9180163629507,292.4635830933393
2025-04-22,267.7415742286047,239.19281509116692,294.51753199963224
2025-04-23,274.91163755687285,248.62645906280517,301.59340138977655
2025-04-24,274.14332620106705,247.9337099293006,300.5403543257117
2025-04-25,277.31857065361237,249.4729921653381,304.8990658329794
2025-04-28,275.0175734390893,248.67123369299017,302.380120718974
2025-04-29,279.18125559662343,251.8789525829967,304.37892125813437
2025-04-30,286.3513189249073,259.1229428418595,312.36089343374044
2025-05-01,285.5830075690905,259.47711997857556,311.78216154011136
