Date,Forecast,Forecast_Lower,Forecast_Upper
2024-12-20,435.122224180995,421.14257289743966,447.8246853794498
2024-12-23,430.77802957046293,417.7950317250257,443.6225936558094
2024-12-24,431.19594151859496,418.3941896810379,444.0762987637234
2024-12-26,433.586013302385,419.72474553513797,445.34720669013115
2024-12-27,433.170213015412,420.3686359388142,446.026990464734
2024-12-30,428.82601841555805,415.399764210147,440.67492381100504
2024-12-31,429.24393036726104,416.01454211080625,442.81704414831364
2025-01-02,431.6340022052353,418.065927662865,445.41850388247843
2025-01-03,431.2182019417972,417.6687401562687,444.759971453051
2025-01-06,426.87400741254976,414.69280591055923,439.6326613485848
2025-01-07,427.2919193461582,413.8628548607611,440.210815465972
2025-01-08,431.03172556524555,417.80547974926776,444.08965215072294
2025-01-10,429.2661907958306,415.48178612796863,441.8016593488493
2025-01-13,424.9219961417112,411.6309803651856,437.55178217972934
2025-01-14,425.3399080720254,412.9623195785045,438.8315416121581
2025-01-15,429.079714287805,416.3958240458206,442.5739448816929
2025-01-16,427.72997982014857,413.72343085729136,440.78764198817925
2025-01-17,427.31417819959296,413.1002703689323,440.0413011829266
2025-01-21,423.38789021714007,410.07906166476056,436.3043504967743
2025-01-22,427.12769512072805,412.8929913644812,439.7610571344496
2025-01-23,425.66719873504206,413.4018220632178,437.90730602736033
2025-01-24,425.14063650864495,411.699485727072,439.09686418309985
2025-01-27,420.4641560905288,407.7630406953391,433.2365075916925
2025-01-28,420.5819342279849,407.0768541234362,433.6142253664043
2025-01-29,424.0216066509074,411.199620521139,437.67475401242
2025-01-30,422.37173839038456,409.5412617666547,436.13679011864286
2025-01-31,421.49562868715907,409.1231447288828,434.9021495179621
2025-02-03,415.7705058385527,402.5297708892102,427.22248479205615
2025-02-04,415.7281083740016,402.61987447177574,429.491090928067
2025-02-05,419.0076050578004,406.49490953682874,431.7547751565917
2025-02-06,417.1975610581636,404.0309158705298,430.40221802775517
2025-02-07,416.32145121781826,403.43691172593935,430.5416720562351
2025-02-10,410.5963279578455,396.9402227995751,422.90059306721776
2025-02-11,410.5539303189597,397.99132850414446,424.0805266115474
2025-02-12,413.8334269655529,400.84371691529935,426.1489262299928
2025-02-13,412.0233829287029,398.77097291325714,424.85850464428637
2025-02-14,411.14727302220706,398.238735353928,423.95736900767355
2025-02-18,405.37975189596216,392.8734667130491,419.7471641046105
2025-02-19,408.65924851360893,395.6229596908562,422.1234116596401
2025-02-20,406.84920444416116,393.610687134542,419.6239462179812
2025-02-21,405.9730945340123,393.1710328013419,418.4260928696009
2025-02-24,400.2479710646166,386.5551521556708,413.1029466149698
2025-02-25,400.20557362429753,387.0595515901357,412.7499218308591
2025-02-26,403.4850704694368,390.63411872549034,416.4904870950663
2025-02-27,401.67502663114686,388.80540043693975,414.7100781330099
2025-02-28,400.7989172636374,387.9364987391634,415.36291447860447
2025-03-03,395.07379542219303,381.94710684408585,407.9900036345578
2025-03-04,395.031398293347,381.4020303092586,408.17802175559905
2025-03-05,398.31089544714916,385.4479375301659,411.713007619851
2025-03-06,396.50085191749815,382.5701091672256,410.19298102279583
2025-03-07,395.62474254714016,382.7600123587912,408.96327807614216
2025-03-10,389.89962069713914,375.90889864819724,403.83030817629236
2025-03-11,389.86474324818215,377.6998723689688,404.17749488594944
2025-03-12,393.15176008471536,380.23196305716993,405.94695824618327
2025-03-13,391.34923623779827,378.11990432535646,403.8947880877217
2025-03-14,390.48065285673925,376.051777027001,403.4444860780605
2025-03-17,384.7781089746388,371.6816077910094,397.26782000067647
2025-03-18,384.7432378322489,370.51198128673025,396.4707583329879
2025-03-19,388.0302611894227,374.58428087512334,401.29662792366565
2025-03-20,386.2277438631512,374.07481918145896,400.0910946792707
2025-03-21,385.35916069616667,373.2324534817174,399.0286839752288
2025-03-24,379.656618673341,365.536904338023,393.2862974960728
2025-03-25,379.6217481507173,364.98426493686685,392.50138486059
2025-03-26,382.90877191356475,369.95848881950104,396.89702431736885
2025-03-27,381.10625525828766,367.3794934504562,394.98709411594933
2025-03-28,380.23767276229364,367.5769496444546,392.8788592702007
2025-03-31,374.53513153539944,362.3714747524253,387.0123722743137
2025-04-01,374.50026135937503,360.93348303932095,387.62833304077174
2025-04-02,377.7872854688202,364.45704061241935,391.45423621627407
2025-04-03,375.9847688948322,362.59336956232227,388.98697279698683
2025-04-04,375.1161864801332,362.67279224773387,388.5297530055064
2025-04-07,370.6031932107907,357.6481634844396,384.1687181517513
2025-04-08,370.9648389393219,358.6985011878081,383.7897882328449
2025-04-09,374.64837895332664,361.3084734729222,387.2605412186721
2025-04-10,373.9469665052576,360.9533975473518,387.99474599232866
2025-04-11,374.1794882164772,360.81212740967595,387.50738399251907
2025-04-14,371.7802596112159,358.83116786843897,384.9122518335917
2025-04-15,373.8099446062157,360.6328623356295,385.9191437974506
2025-04-16,379.161523886674,366.3633058371923,392.6324396884178
2025-04-17,379.42356248371016,366.67984471507793,393.57802910065783
2025-04-21,385.8400122054464,372.7451808906847,399.1005016703912
2025-04-22,389.0520353092826,376.61671662482604,401.658196308472
2025-04-23,395.58595269859546,382.1662214864374,409.2740167784198
2025-04-24,397.03032940447434,383.4977631752757,410.76348848215235
2025-04-25,399.408640269641,385.53117845929944,411.95501842710826
2025-04-28,403.44677912620745,389.3029645027403,417.27695482486894
2025-04-29,406.6588022300498,393.40301539208025,419.1394088437937
2025-04-30,413.1927196193665,400.0428770840448,427.7132137013215
2025-05-01,414.6370963252386,400.6388597383012,427.69595285877824
2025-05-02,417.0154071904072,404.15502253547123,429.6678395753618
