ds,yhat
2025-05-16,204.43558450680604
2025-05-19,204.3031423754667
2025-05-20,202.55083692551514
2025-05-21,200.85006707706853
2025-05-22,200.78985408491874
2025-05-23,201.343365538614
2025-05-26,200.9694713175694
2025-05-27,199.70587258122777
2025-05-28,204.16402418538456
2025-05-29,204.61462196322339
2025-05-30,205.96907670153993
2025-06-02,204.68323953793606
2025-06-03,203.5934217499066
2025-06-04,203.39120961903467
2025-06-05,201.41043759305293
2025-06-06,199.89546612920205
2025-06-09,199.86475813015127
2025-06-10,200.2648366588302
2025-06-11,199.66846791372484
2025-06-12,198.28587839144208
2025-06-13,202.11664001941799
2025-06-16,202.4414395258238
2025-06-17,203.93355177786862
2025-06-18,202.8610779655796
2025-06-19,201.751003884018
2025-06-20,201.54505710069455
2025-06-23,199.55137663528234
2025-06-24,198.04687682494594
2025-06-25,198.0177946594481
2025-06-26,198.40928482652336
