Date,Forecast,Forecast_Lower,Forecast_Upper
2024-12-20,248.84211284442515,234.73132825938958,260.8492759734625
2024-12-23,247.48362713951244,233.99584359926922,260.0040090648098
2024-12-24,247.7283599710425,235.02919442464602,260.24445716607715
2024-12-26,246.92907563512028,234.15780878008286,261.36367684397345
2024-12-27,246.82691256732775,233.8698393714142,260.81067607830187
2024-12-30,245.4684268368198,231.7578301825648,258.59384800544296
2024-12-31,245.71315965982242,233.0311543769268,259.69873527993536
2025-01-02,244.91387558735462,231.30710091429518,257.40710462482417
2025-01-03,244.8117126598204,231.63576202931142,258.28562014120536
2025-01-06,243.4532273500835,230.63574021047552,257.0013559029611
2025-01-07,243.69796031255237,230.91657299023575,257.0255400945503
2025-01-08,244.18388505956656,231.24462074883084,257.12754687841215
2025-01-10,242.79651331016518,230.145876374026,255.7042882427313
2025-01-13,241.43802799804206,228.47140566941633,254.75168158111615
2025-01-14,241.7027067339421,228.53867821047203,255.6170359962039
2025-01-15,242.20857725438353,229.226575189875,254.86662210759835
2025-01-16,240.94331420674408,227.87408056051342,254.47446156633268
2025-01-17,240.86950274421466,227.52211408147264,253.90572719760678
2025-01-21,239.86915625776038,226.15210785793613,253.6822600243456
2025-01-22,240.3834324705709,227.67092292374417,254.1923921856135
2025-01-23,239.1291613859513,225.6678373420595,252.48419769529622
2025-01-24,239.05793619407277,225.54248595520724,252.6898262522353
2025-01-27,237.79226409129788,223.61149914703304,251.02529910161175
2025-01-28,238.06794469450543,225.52371616480133,250.68435088760688
2025-01-29,238.58481708225557,226.21622403155908,251.9057136267033
2025-01-30,237.3305559019238,223.13124712058143,250.0357089696262
2025-01-31,237.25934263880853,223.09426630107419,250.1417795592555
2025-02-03,235.99370632234871,222.59281149411285,248.2069112002816
2025-02-04,236.26938895003167,224.15131336987153,249.22737109182475
2025-02-05,236.78626337039609,223.29453360020054,249.0103491778976
2025-02-06,235.53200422267224,222.4891548325531,249.13266306122668
2025-02-07,235.4607909676888,222.51711400300752,248.48716988837833
2025-02-10,234.1951546756167,221.4690168376042,246.9039913860558
2025-02-11,234.4708373111102,222.19634373224494,247.79062806936676
2025-02-12,234.98771173115176,221.73826457515477,247.28001547788196
2025-02-13,233.73345258310587,221.27741679009162,248.22932174035915
2025-02-14,233.66223933121668,219.95372425094197,245.82864784854956
2025-02-18,232.67228568732745,219.56140397975992,244.96755327870667
2025-02-19,233.1891601107808,220.00537382329537,247.22649940820742
2025-02-20,231.8719610443917,218.48003362230824,244.54342401468705
2025-02-21,231.73780787074438,219.01930286459108,244.72022437638594
2025-02-24,230.2833518226841,218.44551176579998,243.24015078676862
2025-02-25,230.39212461665838,217.58169322619779,243.6808254149184
2025-02-26,230.74208919517082,217.34165595575433,243.52156158732518
