Date,Forecast
2025-05-19,165.0444807300644
2025-05-20,164.03965714170917
2025-05-21,163.4743725747123
2025-05-22,163.17205464660665
2025-05-23,163.94192404565348
2025-05-26,164.33100949816398
2025-05-27,164.72695609796668
2025-05-28,164.74879306624013
2025-05-29,164.52390081572366
2025-05-30,164.32151177964178
2025-06-02,164.1487550135984
2025-06-03,164.14127419963827
2025-06-04,164.21440728202552
2025-06-05,164.3111983155449
2025-06-06,164.38172386988825
2025-06-09,164.391037905783
2025-06-10,164.36390957190326
2025-06-11,164.32167962132934
2025-06-12,164.29196542824363
2025-06-13,164.28521388738235
2025-06-16,164.29574079320005
2025-06-17,164.3133533164821
2025-06-18,164.32628044027612
2025-06-19,164.33011388804456
2025-06-20,164.32610686245079
2025-06-23,164.31886719068376
2025-06-24,164.31318873310434
2025-06-25,164.31122249171005
2025-06-26,164.3126862548451
2025-06-27,164.3156531146816
