Date,Forecast
2025-05-19,205.32142835114396
2025-05-20,203.64569537632138
2025-05-21,201.86466040835398
2025-05-22,201.82723241191917
2025-05-23,202.355898205429
2025-05-26,201.99069071093479
2025-05-27,200.74806963207195
2025-05-28,205.28624156530964
2025-05-29,205.61392888911374
2025-05-30,207.00614540758932
2025-06-02,205.67435927217042
2025-06-03,204.7914288840363
2025-06-04,204.58826060176276
2025-06-05,202.61741198352556
2025-06-06,201.05437130975733
2025-06-09,201.02544636882308
2025-06-10,201.41406790827835
2025-06-11,200.82527503865637
2025-06-12,199.47058888368437
2025-06-13,203.39697944677147
2025-06-16,203.59566833481622
2025-06-17,205.12426161404994
2025-06-18,203.9991698494967
2025-06-19,203.0442236728305
2025-06-20,202.84489823210308
2025-06-23,200.85770710993341
2025-06-24,199.30671138219736
2025-06-25,199.2782135788232
2025-06-26,199.65916599501475
2025-06-27,199.05808304366988
