ds,yhat,yhat_lower,yhat_upper
2024-12-19,193.3401833087698,188.09542145685538,198.8761656120421
2024-12-20,193.62908939474164,188.02982317848134,199.17552883604466
2024-12-23,193.79517961407038,188.1770766795961,199.1018486633182
2024-12-24,194.44394041202986,189.00771067225145,199.69751706538958
2024-12-26,194.0598400911405,188.37418513730532,199.40532220915864
2024-12-27,194.34874617160244,188.89534279529136,200.0377771969246
2024-12-30,194.51483637441726,188.72063752874587,199.7145782120793
2024-12-31,195.163597177772,189.51786941390617,200.46477228762504
2025-01-02,194.77949687867823,189.74882914662285,200.5402007553326
2025-01-03,195.06840297003967,189.7353995750453,200.57819025591462
2025-01-06,195.23449322325007,189.67866061562586,200.46213942880047
2025-01-07,195.88325403249542,190.79029996318454,201.30629329116707
2025-01-08,196.2397869774572,190.71058634310967,201.77375800495335
2025-01-10,195.78805984246065,190.28712994827148,201.08373228405952
2025-01-13,195.95415010398338,190.80607874940694,201.353315148653
2025-01-14,196.60291091600195,191.1443208363375,202.31013121586182
2025-01-15,196.95944386373324,191.57721034987276,202.36588162135592
2025-01-16,196.21881063506612,190.6671673266945,201.30100898914557
2025-01-17,196.50771673591336,191.54816954096563,201.9711792882041
2025-01-21,197.32256781273526,191.52488928414581,202.82243735551938
2025-01-22,197.6556676820994,192.10229004291622,202.97294791579714
2025-01-23,196.89160137424975,191.59843971784778,202.32131220232284
2025-01-24,197.15707439591344,191.5559124845531,202.92844637137225
2025-01-27,196.73178037805218,191.3729349437775,202.3147594088296
2025-01-28,197.1834130969501,191.9432568028146,202.545493737821
2025-01-29,197.34281795155553,191.80471981002802,202.83071029618313
2025-01-30,196.0886422362905,190.30560213247023,201.3621834665885
2025-01-31,195.86400585054358,190.29585661218533,201.3312969307377
2025-02-03,194.48946865472075,188.9253534881662,199.9272897117164
2025-02-04,194.33490185810808,188.71232368349484,200.14064344221237
2025-02-05,193.88810719720223,188.5389464943518,199.06280294399153
2025-02-06,192.34414635907956,187.12021809570876,198.24917334316478
2025-02-07,191.82972485047563,186.45356082377262,197.32566977859673
2025-02-10,189.58583228525407,184.1576823897045,195.16523956856494
2025-02-11,189.43126548836025,184.19081627019955,195.15491367113856
2025-02-12,188.98447082718044,183.4216339172545,194.5067716346615
2025-02-13,187.44050998194754,182.12452204812868,192.867010416648
2025-02-14,186.9260884662325,181.73258450711424,192.54974661663732
2025-02-18,184.52762907678607,178.785986451119,190.09977237946285
2025-02-19,184.0808344094185,178.67919100026134,189.5537808156358
2025-02-20,182.5368735648356,177.10859454017458,187.98505737276062
2025-02-21,182.02245204977058,176.6008010367728,187.46279278081917
2025-02-24,179.7785594582324,174.1530569135868,185.10669694745843
2025-02-25,179.62399265256556,174.186679198633,185.1219800911623
2025-02-26,179.1771979826106,173.48958673020022,184.957769753801
2025-02-27,177.6332377519055,172.44056936807308,183.18217456577133
2025-02-28,177.1188168507178,171.58592000461266,182.4527424110918
2025-03-03,174.87492610857228,169.36569411845238,180.0686747416582
2025-03-04,174.75029375636024,169.31053434218376,180.71661880139519
2025-03-05,174.33343353985734,169.15336956431995,179.6116931716521
2025-03-06,172.81940714613825,167.24718994268403,178.50330938686798
2025-03-07,172.33492008193704,166.8613121701746,177.88935453991462
2025-03-10,170.29537486168854,164.95162017366604,175.9874163262975
2025-03-11,170.20892384645614,164.66921197117514,176.09984788678065
2025-03-12,169.8302449669325,164.51089128344498,175.7672601271823
