Date,Forecast
2025-05-19,165.73552295052434
2025-05-20,163.8289412285765
2025-05-21,162.16472666414694
2025-05-22,161.59001156049274
2025-05-23,159.4603018172322
2025-05-26,160.03979467044968
2025-05-27,158.33730418419816
2025-05-28,160.47802635440127
2025-05-29,160.64974533250498
2025-05-30,163.74240426103304
2025-06-02,163.95023990016315
2025-06-03,163.13851594486673
2025-06-04,162.248844235638
2025-06-05,160.05373672770747
2025-06-06,158.65283869834965
2025-06-09,157.9502777739461
2025-06-10,155.6564372938129
2025-06-11,156.25226282579416
2025-06-12,154.5777021854694
2025-06-13,156.7760301634312
2025-06-16,156.97960580826376
2025-06-17,160.13249373993008
2025-06-18,160.30579570235756
2025-06-19,159.5570138952814
2025-06-20,158.6497973680343
2025-06-23,156.46086812291418
2025-06-24,155.05421669541835
2025-06-25,154.35443750894424
2025-06-26,152.06434637431127
2025-06-27,152.659774589877
