ds,yhat
2025-05-16,452.96850568575513
2025-05-19,457.84345289414387
2025-05-20,457.3421351003414
2025-05-21,452.5160000080703
2025-05-22,454.06584293367126
2025-05-23,451.8453311894979
2025-05-26,452.8528475452014
2025-05-27,451.20940316482165
2025-05-28,456.8432853994311
2025-05-29,458.3042454866759
2025-05-30,463.2641632592122
2025-06-02,462.8047162630592
2025-06-03,462.7334513146632
2025-06-04,469.84245808129714
2025-06-05,470.2604636964434
2025-06-06,465.94095195974256
2025-06-09,467.09972730247415
2025-06-10,465.07964797347506
2025-06-11,466.4252178797155
2025-06-12,464.97715390487065
2025-06-13,471.04517774533207
2025-06-16,472.3659531522526
2025-06-17,477.2230203256547
2025-06-18,476.8211601794381
2025-06-19,476.74189453957
2025-06-20,483.6528059200296
2025-06-23,483.9892945832061
2025-06-24,479.62486025306356
2025-06-25,480.8183117903291
2025-06-26,478.7804600001904
