Date,Forecast,Forecast_Lower,Forecast_Upper
2024-12-20,220.79108740768598,212.9067373864307,228.89632981156151
2024-12-23,221.24064737949968,213.80891667436993,229.57751542632565
2024-12-24,222.20799530249522,213.82738788233945,230.32541543880853
2024-12-26,222.73970390672022,214.32520961116052,230.7385062952478
2024-12-27,222.7947793909137,214.0065544736479,231.09504242786443
2024-12-30,223.2443393324049,215.9648907980703,231.60733218438392
2024-12-31,224.21168724529818,216.63538912584576,232.20881221179965
2025-01-02,224.74339582219497,216.71093548626314,232.63711707666778
2025-01-03,224.7984713028353,216.2887020189304,232.33828935786204
2025-01-06,225.24803123365848,217.42797227550525,232.916942717481
2025-01-07,226.21537914150812,217.62045812694754,234.75275940990977
2025-01-08,228.26410796900524,220.13590439779335,236.5300571635312
2025-01-10,226.80216319458148,218.32909285407015,234.20435209238175
2025-01-13,227.25172312093704,219.51920453930353,235.00109580403176
2025-01-14,228.21907102949297,220.02703674799315,236.27616745850122
2025-01-15,230.26779985768994,222.56933868683376,238.01708962333944
2025-01-16,228.75077960482025,220.66955025435013,236.6635049136973
2025-01-17,228.80585507316536,220.17782853546757,236.78934311994306
2025-01-21,230.22276286416175,221.83271911496843,238.09325629553618
2025-01-22,232.27149168084995,224.29341097330297,240.44863521177646
2025-01-23,230.75447121547975,222.60199767398106,238.44736466408483
2025-01-24,230.80954648283398,222.707416121241,238.24032318802696
2025-01-27,231.25910577379813,223.41953110724208,239.0644473217832
2025-01-28,232.1669501818545,224.7283126848776,240.06710100174791
2025-01-29,234.15617550954929,226.12169957209716,242.16009865523287
2025-01-30,232.5796517561766,224.04892697954594,240.7708266930902
2025-01-31,232.25693953552727,224.2747982450627,240.40456624993234
2025-02-03,231.5731363624958,223.5330849641467,240.157743381399
2025-02-04,232.1626965705461,223.87751934425748,240.2651287855004
2025-02-05,233.31057897158058,225.84509032808245,241.36178877349758
2025-02-06,230.89271229154008,222.34770613656053,239.10642530201963
2025-02-07,230.04694134422698,222.17106614015864,236.59753390079817
2025-02-10,227.79396199119347,219.4863865302649,236.12595303174575
2025-02-11,227.59131086591174,219.290268459679,235.741868508054
2025-02-12,228.47004066027924,221.0831929563296,236.57959829970108
2025-02-13,225.7830213735706,217.68685819675267,233.4948568824074
2025-02-14,224.6505525862599,216.34992174584198,231.88255261863802
2025-02-18,221.31728335461264,213.14029854776103,229.31525546935742
2025-02-19,222.17846791564384,214.50369130429507,229.7875414715178
2025-02-20,219.47390338331763,211.50514293879962,227.15623813409755
2025-02-21,218.34143458372068,210.27067313618184,226.4747890141047
2025-02-24,215.22836167384023,206.33204751281258,223.19111905057417
2025-02-25,215.00816530464044,206.98402813136343,222.95020334989286
