Date,Forecast
2025-05-19,459.23853373620256
2025-05-20,458.75378127493997
2025-05-21,453.9208282046215
2025-05-22,455.4606232781409
2025-05-23,453.2312430255864
2025-05-26,454.2457858171938
2025-05-27,452.6170177902372
2025-05-28,458.2609507613293
2025-05-29,459.72639645255083
2025-05-30,464.7124888842415
2025-06-02,464.2510447169508
2025-06-03,464.4414080899171
2025-06-04,471.6069737236681
2025-06-05,472.03828536312875
2025-06-06,467.7147125935927
2025-06-09,468.8610792325586
2025-06-10,466.83437016410335
2025-06-11,468.1888692849509
2025-06-12,466.75563752953684
2025-06-13,472.8360784595019
2025-06-16,474.1598844879936
2025-06-17,479.0400145073917
2025-06-18,478.6367686541499
2025-06-19,478.9119700780691
2025-06-20,485.8812586303442
2025-06-23,486.2307314998381
2025-06-24,481.8616520269824
2025-06-25,483.04316653291335
2025-06-26,480.99835135114506
2025-06-27,482.3224796630094
