Date,Forecast
2025-05-19,205.05931834576418
2025-05-20,205.84505235317653
2025-05-21,206.39948355865053
2025-05-22,206.281760175207
2025-05-23,206.37904910996406
2025-05-26,206.1752606362003
2025-05-27,206.15511508841752
2025-05-28,206.15768591804064
2025-05-29,206.1552550793785
2025-05-30,206.19069613591745
2025-06-02,206.18420736119455
2025-06-03,206.18821418448448
2025-06-04,206.18439402604184
2025-06-05,206.18043033164696
2025-06-06,206.18195810419823
2025-06-09,206.18091106206504
2025-06-10,206.18221836309476
2025-06-11,206.18232495616917
2025-06-12,206.18222116478225
2025-06-13,206.18232694361012
2025-06-16,206.18207120410275
2025-06-17,206.18213706983244
2025-06-18,206.18211024778722
2025-06-19,206.18212428877987
2025-06-20,206.18215517668548
2025-06-23,206.18213933447942
2025-06-24,206.1821490168206
2025-06-25,206.18214069932188
2025-06-26,206.18213978046703
2025-06-27,206.18214126906
