Date,Forecast
2025-05-19,453.6635534367414
2025-05-20,453.7298878524532
2025-05-21,453.5021464653697
2025-05-22,453.599649869324
2025-05-23,453.5629515315218
2025-05-26,453.6064757118883
2025-05-27,453.5881711282813
2025-05-28,453.5985463793502
2025-05-29,453.59021079684135
2025-05-30,453.59405456460667
2025-06-02,453.59159562063957
2025-06-03,453.59323464480497
2025-06-04,453.5923954824944
2025-06-05,453.5929385705772
2025-06-06,453.592606183267
2025-06-09,453.59278994321494
2025-06-10,453.5926734541423
2025-06-11,453.59274248572774
2025-06-12,453.5927025552689
2025-06-13,453.59272728138507
2025-06-16,453.59271273527725
2025-06-17,453.59272134063565
2025-06-18,453.592716103773
2025-06-19,453.59271919134517
2025-06-20,453.5927173478317
2025-06-23,453.59271845790437
2025-06-24,453.5927178005717
2025-06-25,453.5927181941012
2025-06-26,453.5927179584452
2025-06-27,453.59271809850685
