ds,yhat,yhat_lower,yhat_upper
2024-12-19,449.69261856064134,423.04026357744664,478.73375515944383
2024-12-20,448.0497968032783,417.8771532085892,474.64001377044343
2024-12-23,437.97376470304897,411.74176516779073,464.4704947669201
2024-12-24,438.9440107041928,414.0775576623724,464.9735788339072
2024-12-26,438.30853319123446,411.4357587895628,465.375523880442
2024-12-27,436.6657113824906,407.3665853262422,460.67647804732076
2024-12-30,426.58967912815694,398.3696800034192,454.9566876384208
2024-12-31,427.55992477414577,401.04745611516586,453.52000653186957
2025-01-02,426.92444665356743,400.33460828578814,456.3983878294926
2025-01-03,425.28162454102153,397.0025904803658,451.3372802253515
2025-01-06,415.2055913520553,389.1382266432586,442.7932670704139
2025-01-07,416.1758369902656,388.25876353011506,441.97648185013514
2025-01-08,420.3460359662697,392.16159363588457,446.01180254401083
2025-01-10,413.89753673391203,388.30326344489555,439.9482729476154
2025-01-13,403.8215035721437,378.78098867788293,431.25092113287945
2025-01-14,404.7917492194411,378.03991353905315,429.9934988996854
2025-01-15,408.9619482045055,383.25102442589497,438.2910484257396
2025-01-16,404.15627110585285,377.49311211250387,430.7009343821353
2025-01-17,402.5134489989573,375.95075814271115,429.44780168267613
2025-01-21,393.40766150188364,365.9187459895565,418.20061153344534
2025-01-22,397.3956488983247,369.8680298062778,424.5661159879433
2025-01-23,392.4077602067219,365.94478062477634,417.51205569655104
2025-01-24,390.5827265068756,365.40554949180773,416.6352096445554
2025-01-27,379.2289740804152,351.982387592298,404.4296785386405
2025-01-28,379.7733133061712,353.59472194481776,404.8084487091664
2025-01-29,383.5176058696798,357.2991489741998,410.4819502117929
2025-01-30,377.9258433298767,352.1748144762164,404.20434802111436
2025-01-31,375.49693578185844,349.05655207347786,403.2134305641273
2025-02-03,363.06264630967274,337.3760742425663,390.06138133738085
2025-02-04,362.97934200437123,336.61999105321706,389.8598391120905
2025-02-05,366.0959910368243,339.45839643364934,392.95758886749894
2025-02-06,360.2367639812219,335.4958264767322,387.21293900352015
2025-02-07,357.54039191739565,330.71034437409315,383.30397553424564
2025-02-10,344.2985936846788,315.7082842100946,371.9298984362509
2025-02-11,344.21358430832356,317.15373764056426,369.7919294876614
2025-02-12,347.3285282697542,321.60113745362486,374.1152623380207
2025-02-13,341.4675790641929,316.00772142519133,368.636071404203
2025-02-14,338.76948485040714,310.2864496844638,363.817859378042
2025-02-18,325.4426089256764,298.21201547809716,351.2148764658952
2025-02-19,328.5575357672864,301.5415004461519,354.5844099797719
2025-02-20,322.6965865208401,295.9634798509406,350.06768866862245
2025-02-21,319.99849226617937,292.8745803942408,344.1768477668234
2025-02-24,306.75664290007757,281.1870844360116,332.17544860696825
2025-02-25,306.6716164792748,280.01370092556897,332.8219626773839
2025-02-26,309.786543396228,282.74185969590076,337.54875019516356
2025-02-27,303.925594248134,277.2899655423456,329.41921048670645
2025-02-28,301.2275000918077,274.5159783439886,327.6751631474149
2025-03-03,287.9856507947069,260.5132516571011,313.08674059726894
