Date,Forecast
2025-05-19,210.39603935151317
2025-05-20,210.49980133293207
2025-05-21,210.54486761484776
2025-05-22,210.72408261006336
2025-05-23,210.8979968280484
2025-05-26,210.9344367929231
2025-05-27,210.93680237136215
2025-05-28,210.88818038905762
2025-05-29,210.84479003635323
2025-05-30,210.82243535832862
2025-06-02,210.81765551329423
2025-06-03,210.8275400967716
2025-06-04,210.8391149093825
2025-06-05,210.84732757155496
2025-06-06,210.8501497492743
2025-06-09,210.84869073968838
2025-06-10,210.8457558610605
2025-06-11,210.8431827495632
2025-06-12,210.84195620503436
2025-06-13,210.84197352185743
2025-06-16,210.8426388061968
2025-06-17,210.84337485458303
2025-06-18,210.8438249604473
2025-06-19,210.84393097013208
2025-06-20,210.8438068710388
2025-06-23,210.84361260244197
2025-06-24,210.84346510430842
2025-06-25,210.84340576375618
2025-06-26,210.84341931231003
2025-06-27,210.84346598651317
