ds,yhat,yhat_lower,yhat_upper
2024-12-19,221.72177943188203,213.64085942476973,228.91576355489948
2024-12-20,221.35711511975322,213.64047066054516,229.23407995694265
2024-12-23,221.94557286338159,214.08497882668362,229.45627687236336
2024-12-24,222.93949524298102,214.9930851066441,231.36202235761158
2024-12-26,223.4929785464994,215.8264272970657,231.85181162882333
2024-12-27,223.1283142283466,215.94145910547903,230.981474929152
2024-12-30,223.71677195390194,215.36640278624955,231.52770270916386
2024-12-31,224.71069433939863,216.78165735935224,232.23556629228509
2025-01-02,225.2641776667486,216.90176022231728,232.59688500017313
2025-01-03,224.8995133605166,217.5312421804551,232.49679937859594
2025-01-06,225.4879711163978,217.66591220491452,232.62510354566
2025-01-07,226.48189350008462,218.2830927515426,233.81704566136492
2025-01-08,228.56063694145354,220.94484099852264,236.50955478836374
2025-01-10,226.67071251577565,219.27044614003538,234.87411736917113
2025-01-13,227.25917026768616,219.6344746482198,235.7618539108584
2025-01-14,228.25309265005387,220.72657343413834,236.71791429181835
2025-01-15,230.33183609009802,222.34160324680667,238.5523117499649
2025-01-16,228.80657597470048,221.42519744430624,236.37238248242312
2025-01-17,228.44191166889001,220.99155194761175,236.66728294713525
2025-01-21,230.0242918174037,222.58641297453593,237.72931497889596
2025-01-22,232.1030352226196,224.619001348627,240.22058695862106
2025-01-23,230.57777506883687,223.14281961061752,237.8790089818691
2025-01-24,230.21311072464502,222.67566266363733,238.24822444501856
2025-01-27,230.80156777030723,223.59053608497325,238.28421527606983
2025-01-28,231.7954899172608,224.06232697265463,239.91227547261224
2025-01-29,233.87423312188614,227.04685257575173,242.6951464604461
2025-01-30,232.13726248084467,224.56730324902125,240.6588881827948
2025-01-31,231.56088764939517,223.7113563346236,239.23087544593378
2025-02-03,231.51421383505934,223.23385835668265,238.91412852414015
2025-02-04,231.84330419533998,223.28757972728584,239.2600440897004
2025-02-05,233.2572156133047,225.35682569972144,241.13012786008272
2025-02-06,231.06712347226213,223.1479105551905,238.500867451859
2025-02-07,230.03762714081523,221.91077409762354,238.18492525708882
2025-02-10,227.4800254264781,219.2939280433349,235.13774347261554
2025-02-11,227.4252613200927,219.968940111519,234.43575406024266
2025-02-12,228.4553182713903,220.5435244846752,236.4912900541788
2025-02-13,225.80038085767913,218.3329575599781,234.3177960675259
2025-02-14,224.30603925356755,216.04459925990068,232.08018287655315
2025-02-18,221.3697102088471,213.92998997213888,229.1461313552967
2025-02-19,222.3187763377066,214.4323312023004,231.02058086003672
2025-02-20,219.66383890755893,211.17661319620385,228.06041368084846
2025-02-21,218.1694972870095,210.19934842403865,226.3090346401204
2025-02-24,215.36892310711522,207.74697273708577,223.00178253767095
2025-02-25,215.23316817888204,206.85833326552722,222.5515380868215
2025-02-26,216.182234308323,208.7188460102643,224.43027630534695
2025-02-27,213.52729690261276,205.77390410143298,221.33218460202448
2025-02-28,212.03295530648805,204.6107539124755,220.0184340523102
2025-03-03,209.2323811981411,201.29965190251826,217.14457420010933
2025-03-04,209.09662629922306,201.09481243014486,217.202357173351
2025-03-05,210.04569245799723,202.30907097583093,217.75155255237772
2025-03-06,207.39075505776304,199.08811599771758,215.8141738057589
2025-03-07,205.89641346711863,198.16200962735593,213.4113661831949
