Date,Forecast
2025-05-19,347.9353212569281
2025-05-20,346.076564525164
2025-05-21,337.50899568336047
2025-05-22,332.2630027624526
2025-05-23,332.07831591098716
2025-05-26,328.11273804399644
2025-05-27,327.4994088278202
2025-05-28,330.2947078634439
2025-05-29,337.2998692761823
2025-05-30,349.4427031741057
2025-06-02,351.97971626880104
2025-06-03,343.4414651773902
2025-06-04,341.00787175954497
2025-06-05,340.14997308409284
2025-06-06,331.3167415885342
2025-06-09,326.45657703891516
2025-06-10,326.0008678016194
2025-06-11,323.2506234424476
2025-06-12,323.31395986271656
2025-06-13,327.6303545869941
2025-06-16,334.96207832524163
2025-06-17,347.4808913068907
2025-06-18,349.23645395187026
2025-06-19,342.05290233251145
2025-06-20,339.41030039873255
2025-06-23,338.7073255639433
2025-06-24,329.6777691245837
2025-06-25,324.9955064379682
2025-06-26,324.36329137942136
2025-06-27,321.71392322285266
