Date,Forecast
2025-05-19,210.2673800535152
2025-05-20,207.9563165013194
2025-05-21,204.70642344629192
2025-05-22,203.40992066098718
2025-05-23,202.3330533024883
2025-05-26,201.8451922725985
2025-05-27,201.64936047059336
2025-05-28,204.0809456382371
2025-05-29,203.64414209264126
2025-05-30,206.43572964769157
2025-06-02,206.33893187415572
2025-06-03,205.60673106910716
2025-06-04,204.64541203435462
2025-06-05,202.31959046028328
2025-06-06,199.09053438506984
2025-06-09,197.78169800193754
2025-06-10,196.7141205695995
2025-06-11,196.21850676555854
2025-06-12,196.0243240851538
2025-06-13,198.43862207289519
2025-06-16,197.99957025773432
2025-06-17,200.79515952277004
2025-06-18,200.70032246833037
2025-06-19,199.9667698695951
2025-06-20,199.00586208296656
2025-06-23,196.67976888978316
2025-06-24,193.45091513096818
2025-06-25,192.1419430831899
2025-06-26,191.0744598641375
2025-06-27,190.57877941490048
