Date,Forecast,Forecast_Lower,Forecast_Upper
2024-12-20,194.36209755917398,188.57252771753005,199.90004089402095
2024-12-23,194.18707233396586,188.58634846745187,199.8149353394588
2024-12-24,194.81845531009034,189.39495845363479,200.43576341582215
2024-12-26,194.55902794564244,188.78152989288657,200.53649071274498
2024-12-27,194.906892179362,189.61037219311245,200.80419492623932
2024-12-30,194.73186687600742,189.27025462550523,200.053447577637
2024-12-31,195.36324982608517,189.49493948407974,201.05518823366947
2025-01-02,195.10382240344012,189.4412537765121,201.10644378000097
2025-01-03,195.45168663411084,190.10156848292843,201.0497799707448
2025-01-06,195.27666132161244,189.78224269058762,201.0079945056682
2025-01-07,195.90804425683513,190.99505872330366,201.16365774047514
2025-01-08,196.27068794273788,190.79706957482796,201.45739734988547
2025-01-10,195.9964810294591,190.43743337098297,201.81961075798873
2025-01-13,195.82145568155616,190.16354261726886,201.34885266604445
2025-01-14,196.45283862492096,190.88357856159197,202.40251708688035
2025-01-15,196.81548231896213,191.25116128789645,202.37042608987625
2025-01-16,196.19341119495402,190.80038945610772,201.86158564262317
2025-01-17,196.54127541990903,191.20542789785998,202.00506999118056
2025-01-21,196.99763303158136,191.33253511146395,202.50463336762078
2025-01-22,197.36027672356704,191.57178649689743,202.40630681260149
2025-01-23,196.69896324393545,191.02658344622557,202.21330830999972
2025-01-24,197.00758511531933,191.80178663606847,202.26525907864433
2025-01-27,196.71483272496027,191.11232089149752,202.30227795887959
2025-01-28,197.09411295249993,192.07384081416782,202.80161685789537
2025-01-29,197.204653930713,191.9994688053495,202.70439552643032
2025-01-30,196.33048009087614,190.8763286716402,201.61858129204848
2025-01-31,196.1241436564792,190.41514604001733,201.68764888208767
2025-02-03,194.28651634877298,189.22731802685314,199.81400367613122
2025-02-04,194.36369863073347,188.63078431870665,199.79192127899395
2025-02-05,193.94346849629332,188.92822948220436,199.4623347592142
2025-02-06,192.53852354380308,186.60266539446394,198.0922716822327
2025-02-07,192.10351394233166,186.4510315853269,197.4267478884037
2025-02-10,189.57986713340196,184.22113418970747,195.37091828510685
2025-02-11,189.42837627149487,183.82447185921833,194.93069108814515
2025-02-12,189.00814616026665,183.1334306800608,194.69755400544432
2025-02-13,187.60320123098654,181.9160193150279,192.72146780439414
2025-02-14,187.16819165863149,181.15448527238743,192.98417370098028
2025-02-18,184.49305408105442,179.11257636883408,190.0087164870634
2025-02-19,184.07282397573059,178.85804079346693,189.64858665298013
2025-02-20,182.6678790640834,177.19309503818835,188.03647448515076
2025-02-21,182.23286950345496,176.91956374765118,187.92637996718645
2025-02-24,179.70922281705248,173.86952022856352,185.44411093111947
2025-02-25,179.55773198689198,174.11936784455247,185.0468099255893
2025-02-26,179.13750190740612,173.63106283271202,184.42893208368957
2025-02-27,177.732557009874,172.33698872511044,183.0436046293893
2025-02-28,177.29754836133057,172.02600297348678,182.53124876325552
2025-03-03,174.77390441118607,169.4723946538597,180.60991315075245
2025-03-04,174.62241447899785,168.78978063782307,180.1811257472327
2025-03-05,174.2427065512014,168.71201845270735,179.51614985442632
2025-03-06,172.87828380535504,167.5137017643056,178.44019490219043
2025-03-07,172.48379641052617,166.96206803233449,178.10661379795138
2025-03-10,170.08171622152366,164.29471568155446,175.41718025352543
2025-03-11,170.0332069291456,164.3627005055779,175.85769657618175
2025-03-12,169.71595838744352,163.85585565300363,175.1343941205809
2025-03-13,168.4139950276935,162.79979195294814,174.25441329116308
