ds,yhat,yhat_lower,yhat_upper
2024-12-19,436.12691935062196,422.73879659217266,448.839046196844
2024-12-20,435.5696598918568,421.2756672080365,448.02035085768375
2024-12-23,431.2409102582202,417.398492574422,444.9308834728065
2024-12-24,431.69977415613215,418.8125365233917,444.4160129264731
2024-12-26,434.2055792250302,421.49224139979947,448.30613777678195
2024-12-27,433.64831982766316,420.1337050320198,447.8248449940855
2024-12-30,429.3195703782108,416.7113773741547,442.91879664764133
2024-12-31,429.77843433038475,415.5854854771174,443.8153637505958
2025-01-02,432.2842393849886,418.4031413504798,445.4136962815221
2025-01-03,431.72697998047806,418.0397516215556,445.2927072088536
2025-01-06,427.3982305160791,413.35696602745764,440.6569568828246
2025-01-07,427.85709447040733,414.57231677396925,440.8631769483798
2025-01-08,431.68383869766933,418.1989344802198,444.6293978632778
2025-01-10,429.8056401269856,416.38446190314386,444.6004759073505
2025-01-13,425.4768906912874,411.49618571017305,437.7884822627957
2025-01-14,425.93575465519456,412.3557283038527,440.01488070296
2025-01-15,429.7624988920218,416.27744789499275,442.3104762584121
2025-01-16,428.44155972078494,414.8813557734178,442.4171456940812
2025-01-17,427.88430031552343,414.07280300559927,440.65193600107864
2025-01-21,424.0144147938413,411.0744564981264,437.4922826102089
2025-01-22,427.75409178407244,414.63927006826657,441.06105457276163
2025-01-23,426.34608537871895,412.48392642551045,440.5668691579521
2025-01-24,425.70175873934375,411.21210889462435,439.16538725004244
2025-01-27,420.53309859528656,407.23570976084017,433.27393292566325
2025-01-28,420.7119923230738,407.5720013380947,434.5533299733008
2025-01-29,424.258766323782,410.25817707744375,436.91658413254413
2025-01-30,422.45733673158486,409.1516949870519,435.54212321122316
2025-01-31,421.419586905375,407.2870182557668,433.44093709602816
2025-02-03,415.64936616939866,402.4382573572295,428.83779080764145
2025-02-04,415.6277397010742,402.1936263520783,429.4979607332361
2025-02-05,418.97399350567656,405.0910611721224,432.9277572862031
2025-02-06,417.17256391468953,404.62593453496095,430.0377843600961
2025-02-07,416.13481408968363,401.44577612124124,429.9145110709546
2025-02-10,410.36459328427253,396.1057134077436,424.8285276408736
2025-02-11,410.3429667915993,397.46011837564504,424.2396413866794
2025-02-12,413.6892205718597,400.66575561295065,427.40202466855874
2025-02-13,411.8877909362321,398.80093870919507,424.9597886235311
2025-02-14,410.8500410665883,398.0079427908276,424.5931090117506
2025-02-18,405.0581936873445,391.48692384971326,419.04821884194587
2025-02-19,408.40444743727585,395.2867443408353,422.5277336553295
2025-02-20,406.6030177916141,393.4711160506647,420.56369836733757
2025-02-21,405.5652679119414,391.6015941627591,419.20266187796096
2025-02-24,399.79504696472424,387.49232887894414,413.1432678372409
2025-02-25,399.77342042479586,386.53185554166663,413.9190881894493
2025-02-26,403.1196741577809,389.4603865356969,415.92878624306513
2025-02-27,401.31824451574386,387.85631906662184,415.4611638669475
2025-02-28,400.28049463968097,387.4110095695504,414.3188948167183
2025-03-03,394.510273754159,380.28182897113015,407.8720450500243
2025-03-04,394.4886472386333,380.57840667864497,408.28312238932233
2025-03-05,397.83490099606115,385.3338046583138,411.98105543627383
2025-03-06,396.0334713578819,382.78113626340325,409.2301879915233
2025-03-07,394.9957214856855,382.3787075226442,408.11906498342563
2025-03-10,389.22550061630585,376.2756527986763,402.4871907606077
2025-03-11,389.203874102304,376.2138961797083,402.71501188747635
2025-03-12,392.55012786124763,378.0841661159712,404.66412692944476
2025-03-13,390.7486982267562,377.04879219199364,404.18280726222906
2025-03-14,389.7109483582474,377.02336686073005,403.0135146060565
2025-03-17,383.9407274953809,369.70243796844994,397.1091606850294
2025-03-18,383.9191009823635,370.57476326939565,396.70426923735073
2025-03-19,387.2653547422867,373.34503592717357,401.7658809121803
2025-03-20,385.4639251066103,372.4499542156789,398.5536829091048
2025-03-21,384.4261752649423,371.4146106750581,398.02001509967346
2025-03-24,378.65595448260547,364.54870518968875,392.0619317552591
2025-03-25,378.634327997626,364.8765632644747,391.95668558755006
2025-03-26,381.9805818169641,367.7493612509828,395.5074116150066
2025-03-27,380.1791522407161,366.67472274183444,394.1786304542411
2025-03-28,379.1414024304403,366.4021191432208,392.3871281755325
2025-03-31,373.3711817479455,360.34966415676615,387.76967092192524
2025-04-01,373.34955529624267,360.58375818603986,386.9389514672408
2025-04-02,376.69580911746425,363.7725391424701,389.62133577893434
2025-04-03,374.894379543099,361.6334723932283,388.3481421855755
2025-04-04,374.28855818273894,361.0362148468902,387.7391126598355
2025-04-07,369.8141228443251,354.9513948436307,382.31560030938635
2025-04-08,370.22442484064743,357.0667123521547,383.8420030052812
2025-04-09,374.7358855030273,360.92292573874636,388.0320269561215
2025-04-10,374.0996627698188,361.43840024699267,387.50177814836377
2025-04-11,374.22711980258885,361.4087760423387,387.3537276450728
2025-04-14,374.38063986743947,360.4011044059248,387.4149742477522
2025-04-15,376.3335936648561,364.0614963848395,389.72528494876786
2025-04-16,381.6544277351858,368.14367036755823,394.37814965049597
2025-04-17,382.91778144728687,369.4147319619879,395.8759484580977
2025-04-21,388.36894410225017,375.29747109802963,401.55745805792316
2025-04-22,391.4121009370064,377.4567558519519,403.7360015953123
2025-04-23,397.82313804469436,384.2039482501436,411.73694443861496
2025-04-24,399.08649175679443,385.78767672653714,412.79621294457496
2025-04-25,401.113525234872,387.8908097935991,415.08028776242435
2025-04-28,404.5376544117548,390.582121179138,417.58093049328886
2025-04-29,407.58081124651716,393.80494849072915,420.5817747735582
2025-04-30,413.99184835420886,401.3298927123311,428.1355171559743
2025-05-01,415.2552020663021,400.66970538733693,428.74654890097764
2025-05-02,417.28223554438154,404.4655856915902,430.98311036652495
2025-05-05,420.70636472126364,407.1283715842697,434.17981219831944
2025-05-06,423.74952155602796,409.8196356545986,437.24019074135674
2025-05-07,430.16055866371744,416.11720999564125,443.5854643363773
2025-05-08,431.423912375817,418.1852644818329,445.2578145373789
2025-05-09,433.4509458538911,420.0698846678955,446.4735752031519
2025-05-12,436.8750750307725,423.8105850816685,449.32551126640595
2025-05-13,439.9182318655427,426.55134731498487,453.0841343211085
2025-05-14,446.329268973229,433.8719116399472,459.3337320971493
2025-05-15,447.59262268532586,434.31186308481716,460.8473225989087
2025-05-16,449.61965616340007,436.22224398596484,463.08710733476397
2025-05-17,451.6876096893137,437.9123426892336,464.3267586480912
2025-05-18,453.99742632533764,441.2423575527513,466.8557727716378
2025-05-19,453.0437853402887,439.1160596388586,466.2560978655434
2025-05-20,456.08694217503603,442.4227389003047,469.0666153222711
2025-05-21,462.4979792827376,449.40360010815846,475.9075106184737
2025-05-22,463.76133299483223,449.61944091872215,476.0626810137971
2025-05-23,465.788366472909,452.35391207080687,479.15315732022395
2025-05-24,467.85631999882037,454.45009847308967,480.02296866725766
2025-05-25,470.16613663484407,457.8248392611198,482.96256671857077
2025-05-26,469.21249564979325,455.9904492549128,483.34584091732745
2025-05-27,472.25565248455075,458.49854558591284,486.28978810707935
2025-05-28,478.66668959224916,464.0925744556319,492.80090868221237
2025-05-29,479.9300433043411,466.2682693164556,494.8751510780849
2025-05-30,481.95707678241814,467.6473455562674,495.62412828930775
2025-05-31,484.0250303083309,470.1628888523644,497.6527964635299
2025-06-01,486.3348469443543,472.24912193931874,500.15633953412225
2025-06-02,485.38120595930644,470.9917485475472,499.477735972614
2025-06-03,488.42436279405746,474.1834871389549,503.7498061300235
2025-06-04,494.8353999017516,480.21082040664163,509.1213805520126
2025-06-05,496.09875361384866,481.1495160051085,510.5368921529116
2025-06-06,498.12578709192763,482.9495385616871,513.0348146063234
2025-06-07,500.1937406178389,485.1363725050897,514.8690858525454
2025-06-08,502.50355725386066,487.42563152484524,518.311741321813
2025-06-09,501.54991626881093,485.2280504465443,516.0661672733186
2025-06-10,504.5930731035722,490.2563107610531,521.373029469248
2025-06-11,511.00411021126314,494.17702170652586,525.9420372998158
2025-06-12,512.2674639233576,497.10615684607274,527.3635164516767
2025-06-13,514.2944974014366,496.35588864238275,530.7611709545027
2025-06-14,516.3624509273517,500.11053677178097,533.3015698755579
