Date,Forecast
2025-05-19,345.8312327190835
2025-05-20,343.9426019151402
2025-05-21,343.3668508450101
2025-05-22,342.67046687144517
2025-05-23,342.98188457554363
2025-05-26,343.41779239240697
2025-05-27,343.639612941445
2025-05-28,343.7764381756608
2025-05-29,343.75728147264846
2025-05-30,343.6800409962568
2025-06-02,343.62106095757883
2025-06-03,343.58769120152033
2025-06-04,343.5841323263071
2025-06-05,343.5965664262699
2025-06-06,343.6097690035528
2025-06-09,343.61811907241537
2025-06-10,343.6203820150083
2025-06-11,343.618693014964
2025-06-12,343.61601100455164
2025-06-13,343.6140174116357
2025-06-16,343.6132288188856
2025-06-17,343.6133651833496
2025-06-18,343.613865172084
2025-06-19,343.6143146063417
2025-06-20,343.6145417495225
2025-06-23,343.6145631123024
2025-06-24,343.61447940647685
2025-06-25,343.61438380752986
2025-06-26,343.6143249953458
2025-06-27,343.61430956709444
