ds,yhat,yhat_lower,yhat_upper
2024-12-11,251.83211776984956,238.02832055839335,265.3475241317862
2024-12-12,250.77497485011054,237.80106353186036,264.5783907512642
2024-12-13,250.65314049573786,237.3079196362109,263.80304934547434
2024-12-16,249.44800715052136,237.08749146369718,262.2369807550174
2024-12-17,249.81074385300425,236.31402466136814,262.5935205403831
2024-12-18,249.84447226805972,235.82706060220238,262.4483595258158
2024-12-19,248.78732933456845,236.44868713438282,262.6679017345951
2024-12-20,248.66549496674972,235.63874035944593,261.8072149058654
2024-12-23,247.46036158119315,234.02250040293032,261.3586654811676
2024-12-24,247.82309828398215,235.42268542080978,260.73253985681924
2024-12-26,246.7996837603392,233.52918968013546,260.4502845593741
2024-12-27,246.67784938960622,233.72863410513284,259.20678419580236
2024-12-30,245.47271599532354,232.7966905678811,259.3877774859781
2024-12-31,245.8354526952052,231.22354046256925,258.9075009058544
2025-01-02,244.81203815373036,231.66493228782116,258.1171103689985
2025-01-03,244.69020377408276,232.0699594526286,256.62004320605934
2025-01-06,243.4850703530607,230.6950621825306,256.2866834280135
2025-01-07,243.84780703789482,230.09381966080733,256.6244902633369
2025-01-08,243.88153543530984,231.02665071770642,257.7033411541039
2025-01-10,242.70255809840341,230.41290218945224,255.95109121554339
2025-01-13,241.49742463947234,229.5583784570383,255.03330341463905
2025-01-14,241.8601613177968,228.71251279122217,255.1729816634725
2025-01-15,241.8938897086981,228.4715323060181,254.49561922321402
2025-01-16,240.83926239910323,228.77557407778673,254.0461437886519
2025-01-17,240.71994365486995,227.8978521368431,253.2233240057781
2025-01-21,239.88760946648105,226.26066437594298,253.11046656258952
2025-01-22,239.93041744226127,226.95209338066007,253.41008527200182
2025-01-23,238.88235406949627,226.74719048371796,253.5385300928219
2025-01-24,238.76959926209142,227.3356962891347,251.8531321969776
2025-01-27,237.5917050435692,225.13992947424143,251.83479260504663
2025-01-28,237.96352146870473,224.78790651819548,251.18468670654192
2025-01-29,238.00632960641158,223.6832628792375,251.99274699328654
2025-01-30,236.95826639556856,223.73061904104492,250.09154691588748
2025-01-31,236.84551175253776,223.87440118646109,250.33042738920346
2025-02-03,235.66761754135004,222.02834937795876,248.44089097050028
2025-02-04,236.03943396893112,223.57381934788611,250.01235180672742
2025-02-05,236.08224210319906,223.37374232729258,248.72311276962122
2025-02-06,235.0341788889191,221.75152552609535,248.07942035911898
2025-02-07,234.92142424000522,221.48523137329377,247.705757575906
2025-02-10,233.74352993022302,221.0502418514676,246.677305662302
2025-02-11,234.1153463249331,220.9535412168793,246.3872179521986
2025-02-12,234.1581544322213,220.57851870473624,248.00393054651462
2025-02-13,233.1100911622014,219.10968115901375,246.74428902430412
2025-02-14,232.99733645754623,219.8512013084517,247.11202006161005
2025-02-18,232.1912584274495,218.99845341404108,245.54033752412965
2025-02-19,232.19984820193713,218.26263606807834,245.04349608759648
2025-02-20,231.1175666278782,218.09697915617784,245.23225009095705
2025-02-21,230.97059361918517,218.78470896939228,243.64022886983935
2025-02-24,229.53215364819297,216.42315109123064,243.02884030341068
2025-02-25,229.81712148916574,216.43278686421255,243.0202477774018
2025-02-26,229.7730810427142,216.50652141094085,243.3730535006152
2025-02-27,228.63816924771632,215.25472707556776,241.77908365989998
2025-02-28,228.3770741414716,217.01449700594623,242.12687789231651
2025-03-03,226.75415854064042,214.61778848828197,239.6155313973402
2025-03-04,226.97763450500483,214.28540789354344,239.6459088801021
2025-03-05,226.82985143863613,213.56027317041136,239.7650437336896
2025-03-06,225.5911970237192,211.47873462302195,238.5175204478628
2025-03-07,225.28785117416822,211.30868668795082,238.75747897884048
2025-03-10,223.4744924398668,209.70528568059342,236.38435495803515
2025-03-11,223.63448735974148,210.35633859425593,236.94607650220587
2025-03-12,223.46547399218866,210.0596036780475,236.8032053704931
2025-03-13,222.20558923323614,208.22209311328515,234.82822661300855
2025-03-14,221.88101303964726,208.73341963903144,235.22183454110308
2025-03-17,220.06765417679534,206.3070740691837,233.13128106644785
2025-03-18,220.2276490451048,206.82741268430306,233.73102027580086
2025-03-19,220.05863562598904,206.16433319009005,233.3144655571047
2025-03-20,218.79875085832776,205.01598735772677,232.24024777787304
2025-03-21,218.4741746418277,205.21496960201847,231.29376189401071
2025-03-24,216.66081571024054,203.58994426759992,229.5514984006808
2025-03-25,216.82081056434725,203.98848540467588,229.15689176145324
2025-03-26,216.6517971310305,203.866493709569,230.39629992207819
2025-03-27,215.39191235288507,202.7871630863618,228.14072543666518
2025-03-28,215.06733614010056,201.91649064694928,227.67681130158235
2025-03-31,213.25397721966885,199.9911320871592,227.39594706027427
2025-04-01,213.41397207750592,199.90356154905675,226.54285430786234
2025-04-02,213.24495864790887,200.22782500242536,226.81763241030237
2025-04-03,211.98507386976553,198.97732221227201,225.50584646508796
2025-04-04,211.6604976572002,198.11317892770094,225.1705640225273
2025-04-07,209.84713873742874,196.27725928738377,222.9055151171523
2025-04-08,210.00713359547794,197.17134360050886,223.40491448665668
2025-04-09,209.83942008880604,196.63180312166287,223.47208228273794
2025-04-10,208.58083523358667,196.2006949939415,221.61272415538636
2025-04-11,208.257558943733,194.20137243662052,220.4592103183963
2025-04-14,206.44809979207548,192.77960503236108,219.26611811136212
2025-04-15,206.60939457282961,193.18345600650503,220.0328532276647
2025-04-16,206.44168106615825,194.68432894021169,219.59772394215668
2025-04-17,205.1830962109364,191.55262813836532,218.3595833227992
2025-04-21,203.05036076942474,189.90989905687593,216.54332641461312
2025-04-22,203.2116555501794,190.32925225159846,216.91182075014817
2025-04-23,203.04394204350723,188.91970761029208,215.6825032735589
2025-04-24,201.78535718828664,188.35301835354068,214.27630222333664
2025-04-25,201.46208089842932,188.4728435046036,214.69739864384104
2025-04-28,199.65262174677403,187.07869400621414,212.9219561251006
2025-04-29,199.81391652752876,186.28287409304653,212.96229732939742
2025-04-30,199.6462030208582,186.59908764005377,212.51960550470642
2025-05-01,198.38761816563695,185.3108140591244,211.53355286440578
2025-05-02,198.06434187577946,184.6346966683035,211.87948770506134
2025-05-05,196.2548827241265,183.9147619333268,208.74144815994484
2025-05-06,196.4161775048781,184.03694860939297,210.4954229320088
2025-05-07,196.24846399820714,182.66228422803943,209.75298947480397
2025-05-08,194.98987914298627,182.2131454012005,208.6097224457167
2025-05-09,194.66660285312955,180.32378932519902,206.8192560483615
2025-05-10,191.25562336448527,177.37174067466054,204.74217125518078
2025-05-11,190.7702319080292,177.57084993740153,203.99060529167727
2025-05-12,192.85714370147895,180.0271428767464,205.96199495624734
2025-05-13,193.0184384822298,179.37504838067449,206.18951022780604
2025-05-14,192.8507249755571,180.07442883378476,206.07240679091663
2025-05-15,191.59214012033598,178.28005787799108,204.9505716806855
2025-05-16,191.2688638304777,178.0758472498449,204.1994045578908
2025-05-17,187.85788434183445,174.30438060133082,200.30637507488555
2025-05-18,187.37249288538294,174.83513814092484,199.88875787807152
2025-05-19,189.4594046788217,176.56147534443835,202.4808312901173
2025-05-20,189.62069945957725,176.41855112776605,202.34981398341216
2025-05-21,189.4529859529061,175.0878682209186,202.29931847300142
2025-05-22,188.19440109768678,175.59575577030697,201.3234186087821
2025-05-23,187.87112480782588,173.96549001084873,201.03173470217362
2025-05-24,184.46014531919164,171.90550029846545,197.38640024854976
2025-05-25,183.9747538627333,172.0317299148709,197.20124592227867
2025-05-26,186.06166565617102,172.37562970187577,198.77353422205104
2025-05-27,186.22296043692893,174.38589249252374,199.8896551365606
2025-05-28,186.0552469302561,173.2509999609137,198.1250219190139
